title,preview,date
"이재명 ""대선 패배땐 감옥갈 듯""…김근식 ""도둑이 제발저리냐""","이에 김 교수는 자신의 페이스북에 ""이재명 후보가 감옥 가게 되면, 그것은 명백한 범죄와 불법 때문""이라며 ""단군이래 최대 사기극 대장동 게이트의 몸통이자 입만 열면 거짓을 일삼는 이 후보의 죄값을 치루는 것""이라고 지적했다. 그러면서 ""자신이 감옥 갈 거라는 사실을 은연중에 고백하는 이 후보님 '도둑이 제발 저리는 격'""이라고 덧붙였다. 또 ""정권을 가리지 않고 불법과 비리를 수사하느라 박근혜 정권에, 문재인 정권에 갖은 고초를 겪고 대선후보로 불려나온 윤석열이다""라며 ""검찰공화국이 아니라 법치공화국이 될 것""이라고 말했다.",2022.01.23 10:50
"이재명 ""빌린 돈이 삶 옥죄지 않게…불법 사채 근절 추진""","이재명 더불어민주당 대선 후보가 23일 ""불법 사채 근절을 추진하겠다""고 공약했다. 이 후보는 ""불법 사채는 신용불량자, 사회초년생, 자영업자 등 막다른 곳에 내밀린 이들의 처지를 노린 악질 범죄로, 특히 코로나19로 서민경제가 어려운 시기에 불법 사채가 취하는 부당이득은 약탈 수준""이라며 ""경기도가 나서서 검거한 불법 대부업자 중 최고이자율이 3만1000%에 달하는 사례를 보고 경악을 금치 못했던 기억이 있다""고 밝혔다. 그는 ""특별사법경찰단의 수사 및 단속 권한을 전국으로 확대하여 불법 사채를 발본색원하겠다""며 ""이자제한법을 위반한 불법 대부계약의 경우 이자 계약 전부를 무효화하고, 이미 받은 이자는 반환하며 이자율이 허용 이자율의 3배 이상일 경우 원금계약까지 무효화 하는 방안도 추진하겠다""고 말했다.",2022.01.23 10:44
"윤석열 ""초등학생 아침·방학 점심 급식 지원…돌봄교실 확대""","윤석열 국민의힘 대선후보가 23일 ""초등학생 자녀들의 아침밥과 방학 점심을 학교급식으로 제공할 계획""이라고 밝혔다. 이에 윤 후보는 ""저소득층, 차상위 계층은 물론 워킹맘, 싱글대디 가정 초등학생 자녀들의 아침밥과 방학 점심을 학교급식으로 제공할 계획""이라고 밝혔다. 윤 후보는 ""학기 중 돌봄 교실 및 방과후학교 연계형 돌봄 교실에 참여하는 학생, 방학 중 신규로 돌봄이 필요한 학생(1~6학년) 전원을 대상으로 돌봄 교실을 운영할 계획""이라고 말했다.",2022.01.23 10:05
"김은혜 ""李 트럭, 安스포츠카...尹은 날 지켜줄 '수륙양용 탱크'""","김은혜 국민의힘 선거대책위원회 공보단장은 윤석열 대선후보를 '수륙양용 탱크'에, 이재명 더불어민주당 후보를 '트럭'에, 안철수 국민의당 후보를 '스포츠카'에 비교했다. 그러면서 ""윤 후보는 바다도 가고 땅도 갈 수 있는 (수륙양용) 탱크 느낌""이라며 ""탱크는 사람들에게 겁나고 무서워보여도 나를 지켜줄 수 있는 포를 쏠 수 있다""고 설명했다. 김 단장은 ""어린 후배 공개적으로 욕한 동아리 선배""라며 ""야단치는 건 공개적으로 하면 안 된다.",2022.01.23 09:16
"""할 말은 하는데 혼자 한다"" 與 TV토론 근심은 '다변 이재명'","민주당 선대위 관계자는 ""상대적으로 정책 공개가 늦은 윤 후보를 겨냥해 초반부터 이 후보의 역량을 강조하자는 판단이 있었다""면서 ""‘유능한 이재명’과 ‘무능한 윤석열’의 구도를 만들겠다는 게 기본 취지였다""고 설명했다. 이 후보는 변호사 출신으로 직설 화법을 쓴다는 점에서 여권의 대표적 달변가인 고(故) 노무현 전 대통령과 비슷한 측면이 있다. 하지만 노 전 대통령의 말과 글을 담당했던 강원국 전 청와대 연설비서관은 지난해 7월 중앙일보 인터뷰에서 ""살아온 이력이나, 정치 입문 과정은 비슷한데 그 밖에 비슷한 점은 찾기 어렵다""고 두 사람 간 차이에 방점을 찍었다.",2022.01.23 08:00
여차하면 스텔스로 둔갑한다…中·러 '눈'보다 뛰어난 KF-21 [김민석 배틀그라운드],"이 AESA 레이더 덕분에 KF-21은 북한 전투기는 물론, 중국 및 러시아 전투기보다 먼저 보고 먼저 미사일을 쏠 수 있게 된다. 안현호 KAI 사장은 ""KF-21이 스텔스 기능과 유무인 복합 전투능력까지 갖추면 동북아시아에서 최강 전투기로 거듭 날 수 있을 것""이라고 내다봤다. 아직 전투 기동 능력과 KF-21과 협동 작전 능력 등은 보완해야 한다                            그러나 가오리가 스텔스화된 KF-21과 함께 전투에 나설 경우 공군 전투력은 크게 강화될 전망이다.",2022.01.23 06:00
"[이번 주 리뷰]북한은 핵ㆍICBM, 1년 공수처는 “송구”, 대선은 관음증으로 추락(17~22일)","""깊은 우려를 표명한다""(지난해 3월 25일)→""유감을 표명한다""(지난해 9월 28일)→""깊은 유감을 표명한다""(지난해 10월 19일)→""강한 유감을 표명한다""(지난 14일)→""매우 유감스럽다""(지난 17일). 한편 무함마드 왕세제는 문 대통령의 출국 직전 ‘일정 취소’를 통보해오면서 정상회담은 불발됐다.이런 가운데 UAE의 아부다비 공항에서 예멘 반군의 소행으로 추정되는 무인기(드론) 공격이 발생했다는 소식이 전해지면서 ""왕세제와의 정상회담 취소 배경이 반군 공격 등 안보상 위험과 관련 있는 것 아니냐""는 관측이 나왔다. 'UAE 드론 피습'에 사우디 동맹군 반격 공습,예멘 반군 ""12명 사망"".21일에도 공습 70여명 사망       17일(현지시간) UAE 수도의 아부다비 국제공항과 아부다비석유공사(ADNOC) 원유시설 등이 예멘 반군 무인기(드론)에 의한 것으로 추정되는 피습을 당해 3명이 사망했다.",2022.01.23 05:59
무릎까지 꿇은 김정숙 여사…'말춤' 추던 영부인이 달라졌다,"김정숙 여사가 2017년 11월 필리핀에 이어 지난 16일 아랍에미리트(UAE)에서 또 다시 가수 ‘싸이’의 ‘강남스타일’에 반응했다. 김 여사는 2019년 9월 라오스 방문 당시 공항 환송식에서 문 대통령보다 서너걸음 앞서 걸어 논란을 일으킨 적이 있다. 청와대는 해당 장면을 담은 다양한 사진을 공개했고, 서면브리핑에서도 ""띠가 생각만큼 예쁘게 잘 안 매어지자, 김정숙 여사는 무릎까지 꿇고 다시 한번 찬찬히 띠를 매어주었습니다""라며 김 여사의 행동을 구체적으로 홍보했다.",2022.01.22 22:44
"北매체 ""'전쟁광' 尹 사퇴하라""…尹 ""생각 없다, 韓국민 최우선""","윤석열 국민의힘 대선 후보는 22일 북한 매체가 자신을 ‘전쟁광’으로 표현하며 후보 사퇴를 촉구하자 ""사퇴할 생각 없다""고 응수했다. 윤 후보는 이날 자신의 페이스북을 통해 이같이 말하며 ""대한민국 국민 최우선""이라고 밝혔다. 북한 선전 매체 ‘통일의 메아리’는 이날 ""(남측의) 여러 언론과 각계가 윤석열의 선제 타격 망언을 강력히 규탄했다""며 ""한반도의 평화와 번영, 통일에 역행하는 대단히 시대착오적이고 위험천만한 망언""이라고 비난했다.",2022.01.22 20:07
"문대통령, 틱낫한 스님 열반에 “가르침은 언제나 살아 숨 쉴 것”","문재인 대통령은 22일 베트남 출신의 세계적인 불교 지도자이자 평화 운동가인 틱낫한 스님의 열반 소식에 ""스님의 족적과 어록, 가르침은 사람들의 실천 속에서 언제나 살아 숨 쉴 것""이라고 애도를 표했다. 문 대통령은 이날 SNS에 ""틱낫한 스님은 ‘살아있는 부처’로 칭송받으며 가장 영향력 있는 영적 지도자로 세계인들의 존경을 받아왔다""며 ""깊은 애도의 마음을 전한다""고 밝혔다. 문 대통령은 ""수많은 저서에서 부처의 가르침을 아름다운 시와 글로 전하면서 ‘마음 챙김’을 늘 강조하셨는데 스님의 행복론은 많은 이들에게 공감을 불러일으키며 삶의 지침이 되기도 했다""고 추모했다.",2022.01.22 18:47
"李 ""이중플레이"" 尹 ""날 만나고 싶은 모양"" 추경이 부른 신경전","이 후보는 윤 후보에 대해 ""이중플레이""라고 비판했고, 윤 후보는 ""저를 굉장히 만나고 싶어하는 모양인데 저는 할 말 다 했다""며 회동 제안을 일축했다. 이 후보의 이같은 발언은 앞서 자신이 제안한 ‘추경증액 논의를 위한 대선후보 긴급회동’에 대해 윤 후보가 전날 ""저는 이미 할 얘기를 다 했다""며 거부의사를 밝힌 데 대한 반응이다. 윤 후보는 이날 오후 충북 청주에서 열린 충북 선거대책위원회 필승결의대회에 참석한 직후 기자들과 만나 이 후보의 비판에 대해 ""글쎄, 저를 굉장히 만나고 싶어하는 모양""이라며 이렇게 말했다.",2022.01.22 17:29
"이재명 ""검찰공화국 두렵다, 내가 지면 죄 만들어 감옥 보낼것""","이날 이 후보는 송파구 석촌호수 옆길에서 즉석연설을 통해 ""검찰 공화국이 열린다. 이 후보는 ""제가 인생을 살면서 참으로 많은 기득권하고 부딪혔고 공격을 당했지만 두렵지 않았다""며 ""그런데 지금은 두렵다. 이 후보는 ""실제로 죄도 없는 사람을 마구 압박하고 기소해서 ‘아, 나는 죄짓지 않았지만 살아 남을 길이 없구나’ 해서 극단적 선택하는 사람도 나온다""며 ""왜 특수부 수사만 받으면 자꾸 세상을 떠나나""고 지적했다.",2022.01.22 16:48
"尹, 李 겨냥 ""추경 데드라인은 50조, 구체적 용처 갖고 오라""","윤석열 국민의힘 대선 후보는 22일 ‘35조원 추가경정예산(추경)안 관련 대선 후보 간 긴급회동’을 제안한 이재명 더불어민주당 대선 후보를 향해 ""막연하게 만나자고 하는데 할 이야기는 다 했다""고 말했다. 이날 윤 후보는 충북 청주시 장애인스포츠센터에서 충북 선거대책위원회 필승결의대회를 마친 후 기자들과 만나 ""(추경과 관련해) 할 말을 이미 다 했다""며 ""50조원이 필요하고, 돈을 써야 하는 곳까지 정해서 이야기를 했다. 이 후보가 자신의 만남 제안을 윤 후보에 대해 ‘구태정치’라고 비판한 데 대해서는 ""(이 후보가) 저를 굉장히 만나고 싶어 하는 모양""이라고 꼬집으며 ""제1, 2당 대선 후보들이 논의하기 위해 만난다면 결과를 국민들에게 보여드려야 한다""고 말했다.",2022.01.22 16:29
